model-type,path,precision,recall,f1-score,accuracy
Logistic,log-classifier-[p_0.4027]-[r_0.4166]-[f_0.3758]-[a_63.7851],0.4027322843605085,0.4165681355168405,0.3758414350979895,63.785083569851786
FFNN,ffnn-classifier-[p_0.3874]-[r_0.4524]-[f_0.3718]-[a_63.8600],0.3873585233910881,0.4523737135278736,0.3718034822110805,63.85998107852412
FFNN,ffnn-classifier-[p_0.3839]-[r_0.4480]-[f_0.3530]-[a_59.3188],0.383880921186438,0.4480219620915753,0.3530431501379772,59.31882686849574
Logistic,log-classifier-[p_0.3918]-[r_0.3984]-[f_0.3488]-[a_53.6897],0.3918337117188162,0.3983665021194804,0.34884862706300107,53.68968779564805
Logistic,log-classifier-[p_0.3639]-[r_0.3769]-[f_0.3335]-[a_58.8576],0.3638990532655667,0.3769006684598157,0.333481737873858,58.85761589403975
FFNN,ffnn-classifier-[p_0.3728]-[r_0.3581]-[f_0.3100]-[a_46.1999],0.3728263289115998,0.3580630231909101,0.3100409988994645,46.19993692841374
FFNN,ffnn-classifier-[p_0.2933]-[r_0.3338]-[f_0.3066]-[a_84.1020],0.2933074027273206,0.3338361273907099,0.3065706955055867,84.10201829076001
XGBoost,tree-classifier-[p_0.5170]-[r_0.3341]-[f_0.3064]-[a_84.2617],0.5170033917021613,0.3340852722870657,0.3064373595876375,84.26167618259225
FFNN,ffnn-classifier-[p_0.2967]-[r_0.3338]-[f_0.3061]-[a_84.1828],0.2967017793032706,0.3338037105273313,0.3061097555923808,84.18282876064333
FFNN,ffnn-classifier-[p_0.3641]-[r_0.3334]-[f_0.3049]-[a_84.2380],0.364142290204736,0.3333570908363626,0.3049095494047828,84.23801639861243
FFNN,ffnn-classifier-[p_0.2808]-[r_0.3333]-[f_0.3048]-[a_84.2420],0.2808065279091769,0.3333333333333333,0.3048236464584871,84.24195837275307
FFNN,ffnn-classifier-[p_0.2808]-[r_0.3333]-[f_0.3048]-[a_84.2360],0.2808034218358859,0.3333099365948386,0.3048120332926803,84.23604541154211
FFNN,ffnn-classifier-[p_0.4159]-[r_0.3971]-[f_0.3869]-[a_76.0446],0.3240769511857211,0.3027884090256258,0.2898602102433396,76.04462314727215
FFNN,ffnn-classifier-[p_0.3480]-[r_0.3537]-[f_0.1714]-[a_25.4671],0.347999900823539,0.3537064502030032,0.171355059511686,25.46712393566698
FFNN,ffnn-classifier-[p_0.3570]-[r_0.3349]-[f_0.0882]-[a_14.5124],0.3569640347530261,0.3349137664518247,0.0882073379328555,14.512377798801642
